antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'salty snack'},{'root vegetables'},0.018778401496925955,0.06956696070569367,0.0010692328254477412,0.05693950177935943,0.8184848267303885,1.0,-0.00023712349360464576,0.9866101284592456,-0.18434858085235653,0.012251148545176109,-0.013571593433431414,0.03615466923742227
{'sausage'},{'root vegetables'},0.0603448275862069,0.06956696070569367,0.0033413525795241913,0.05537098560354374,0.7959379717304789,1.0,-0.0008566536699573229,0.9849719044346524,-0.21435779155254428,0.026399155227032737,-0.01525738500528417,0.051700862638467356
{'shopping bags'},{'root vegetables'},0.047580860732424485,0.06956696070569367,0.0033413525795241913,0.0702247191011236,1.0094550399896383,1.0,3.129671060853436e-05,1.000707438032547,0.00983440920572546,0.02935995302407516,0.0007069379177773124,0.059127729387257286
{'sliced cheese'},{'root vegetables'},0.014033680834001604,0.06956696070569367,0.0012028869286287089,0.08571428571428572,1.2321119802387814,1.0,0.00022660640549347297,1.0176611367281476,0.1910668293344177,0.014598540145985403,0.01735463416135685,0.05150267599835323
{'soda'},{'root vegetables'},0.097099705960973,0.06956696070569367,0.005279337075648222,0.05437026841018582,0.7815530225648613,1.0,-0.0014755943534731954,0.9839295531984185,-0.23638597038459389,0.032712215320910974,-0.01633292419090565,0.06512941854707177
{'root vegetables'},{'soda'},0.06956696070569367,0.097099705960973,0.005279337075648222,0.07588856868395773,0.7815530225648613,1.0,-0.0014755943534731954,0.9770469917823567,-0.2310068837068824,0.032712215320910974,-0.023492225461716868,0.06512941854707177
{'root vegetables'},{'tropical fruit'},0.06956696070569367,0.06776263031275061,0.0036754878374766105,0.052833813640730067,0.7796895338460401,1.0,-0.0010385524028049577,0.9842384400044893,-0.23294558152253952,0.0275,-0.016013965066674938,0.05353722240221907
{'tropical fruit'},{'root vegetables'},0.06776263031275061,0.06956696070569367,0.0036754878374766105,0.05424063116370808,0.77968953384604,1.0,-0.0010385524028049577,0.9837946838836564,-0.23259958951954593,0.0275,-0.01647225420284941,0.05353722240221907
{'waffles'},{'root vegetables'},0.01851109329056402,0.06956696070569367,0.0013365410318096765,0.07220216606498195,1.0378801277582996,1.0,4.8780532245579645e-05,1.0028402797063147,0.03718594675563418,0.015408320493066254,0.0028322353656819537,0.045707230967169166
{'whipped/sour cream'},{'root vegetables'},0.04370489174017642,0.06956696070569367,0.0024726009088479016,0.05657492354740061,0.8132441459781966,1.0,-0.0005678155774875475,0.9862288617479357,-0.19363829087320453,0.022316043425814232,-0.013963430585125138,0.04605883545285497
{'white bread'},{'root vegetables'},0.023990911520983694,0.06956696070569367,0.0012697139802191927,0.052924791086350974,0.7607748067398232,1.0,-0.0003992608188548535,0.9824278267842822,-0.24367262835992573,0.013758146270818247,-0.017886477496505356,0.03558823608111977
{'root vegetables'},{'whole milk'},0.06956696070569367,0.15791232290831328,0.0075514568297246724,0.10854947166186359,0.6874034252848611,1.0,-0.003434023532982767,0.9446263705306529,-0.328295869356388,0.03433606806441811,-0.058619610035066515,0.07818501936880737
{'root vegetables'},{'yogurt'},0.06956696070569367,0.08587276129377172,0.004276931301790965,0.06147934678194044,0.7159353659493827,1.0,-0.0016969757088222646,0.9740086545477826,-0.2989541807985613,0.028293545534924847,-0.02668492249104783,0.05564239712637878
{'salty snack'},{'sausage'},0.018778401496925955,0.0603448275862069,0.001136059877038225,0.060498220640569395,1.0025419420437214,1.0,2.880476361658696e-06,1.0001632706374086,0.002584020736265549,0.014567266495287062,0.00016324398445916936,0.03966217787288713
{'salty snack'},{'soda'},0.018778401496925955,0.097099705960973,0.0014033680834001604,0.07473309608540925,0.7696531657412691,1.0,-0.0004200091803684453,0.9758268562498714,-0.2337248255432514,0.012259194395796848,-0.024771959897708244,0.04459297612253945
{'salty snack'},{'tropical fruit'},0.018778401496925955,0.06776263031275061,0.0010024057738572574,0.05338078291814947,0.7877613763187264,1.0,-0.00027006810464333874,0.9848071461733725,-0.21542538980261408,0.011718749999999998,-0.015427237592316234,0.034086841163216745
{'salty snack'},{'whole milk'},0.018778401496925955,0.15791232290831328,0.001937984496124031,0.10320284697508897,0.6535452400064458,1.0,-0.001027356504760494,0.9389945923125554,-0.35075946780838413,0.011089866156787764,-0.06496885944486695,0.05773769094416742
{'salty snack'},{'yogurt'},0.018778401496925955,0.08587276129377172,0.001537022186581128,0.08185053380782918,0.9531606131520279,1.0,-7.553100264300018e-05,0.9956192018467059,-0.04769303652903662,0.014906027219701879,-0.004400073989300692,0.049874683246327045
{'sliced cheese'},{'sausage'},0.014033680834001604,0.0603448275862069,0.001136059877038225,0.08095238095238096,1.3414965986394558,1.0,0.000289199826710542,1.022422726460604,0.2581872114441547,0.01551094890510949,0.021930974224552206,0.04988925802879291
{'soda'},{'sausage'},0.097099705960973,0.0603448275862069,0.005947607591553061,0.06125258086717137,1.0150427686559826,1.0,8.8142576666758e-05,1.0009669835170392,0.016413592254001786,0.039258932509925,0.0009660493632282445,0.07990646762073961
{'sausage'},{'soda'},0.0603448275862069,0.097099705960973,0.005947607591553061,0.09856035437430785,1.0150427686559826,1.0,8.8142576666758e-05,1.0016203507582817,0.01577156994124302,0.039258932509925,0.0016177294691098112,0.07990646762073961
{'sausage'},{'tropical fruit'},0.0603448275862069,0.06776263031275061,0.003074044373162256,0.05094130675526024,0.751761059453367,1.0,-0.0010150798698485564,0.9822757815957831,-0.26003541912632827,0.024585783003741313,-0.018044034818228374,0.04815309913699896
{'white bread'},{'sausage'},0.023990911520983694,0.0603448275862069,0.0014033680834001604,0.0584958217270195,0.969359331476323,1.0,-4.435933596954526e-05,0.9980361150785555,-0.03137020825043106,0.0169218372280419,-0.0019677493547315475,0.04087581784025393
{'sausage'},{'whole milk'},0.0603448275862069,0.15791232290831328,0.008954824913124833,0.1483942414174972,0.9397255304999697,1.0,-0.000574366986514762,0.9888233711492759,-0.06389796833942192,0.042784163473818644,-0.011302957815139403,0.10255090826693736
{'whole milk'},{'sausage'},0.15791232290831328,0.0603448275862069,0.008954824913124833,0.05670757511637749,0.9397255304999698,1.0,-0.000574366986514762,0.9961440881174487,-0.07077743297597829,0.042784163473818644,-0.003870837490827631,0.10255090826693736
{'sausage'},{'yogurt'},0.0603448275862069,0.08587276129377172,0.005747126436781609,0.09523809523809523,1.109060589216231,1.0,0.000565149462157453,1.0103511585700418,0.10465116279069751,0.04091341579448144,0.010245109813791727,0.08108208263850286
{'yogurt'},{'sausage'},0.08587276129377172,0.0603448275862069,0.005747126436781609,0.0669260700389105,1.109060589216231,1.0,0.000565149462157453,1.0070532915360502,0.10757365304481308,0.04091341579448144,0.007003891050583653,0.08108208263850286
{'semi-finished bread'},{'whole milk'},0.009489441325848703,0.15791232290831328,0.0016706762897620957,0.176056338028169,1.1148992984568433,1.0,0.00017217656689518272,1.0220209414275172,0.10404533801106466,0.010080645161290322,0.021546467919492183,0.09331805475255255
{'shopping bags'},{'soda'},0.047580860732424485,0.097099705960973,0.004410585404971933,0.09269662921348315,0.9546540671373447,1.0,-0.00020950218151649137,0.9951470733061721,-0.04750370616397851,0.03144354454502144,-0.004876592439452163,0.06905994571479387
{'shopping bags'},{'tropical fruit'},0.047580860732424485,0.06776263031275061,0.002739909115209837,0.05758426966292135,0.8497938966824014,1.0,-0.0004842951605639155,0.9891997126934747,-0.1565354458006629,0.02433234421364985,-0.010918207079859858,0.04900909735611551
{'shopping bags'},{'whole milk'},0.047580860732424485,0.15791232290831328,0.0063485699010959636,0.13342696629213482,0.8449433447293718,1.0,-0.0011650343431381348,0.9717446127865169,-0.16155153280621437,0.031879194630872486,-0.02907696820922898,0.086815048952246
{'shopping bags'},{'yogurt'},0.047580860732424485,0.08587276129377172,0.003541833734295643,0.07443820224719101,0.8668430026668998,1.0,-0.0005440661615320414,0.9876458178434514,-0.13888534218590404,0.02726337448559671,-0.012508717126473699,0.05784166921698072
{'sliced cheese'},{'soda'},0.014033680834001604,0.097099705960973,0.001136059877038225,0.08095238095238096,0.8337036672893521,1.0,-0.00022660640549347307,0.9824303717523092,-0.16826502188619183,0.010328068043742405,-0.01788384068008078,0.04632615606462819
{'sliced cheese'},{'whole milk'},0.014033680834001604,0.15791232290831328,0.0014701951349906442,0.10476190476190476,0.6634181730246056,1.0,-0.0007458960044604244,0.9406298520705011,-0.3397449197534632,0.00862406899255194,-0.06311743965898396,0.05703605183080426
